"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9030","TC_E2E_04 - cart shows all added items","webkit","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","6727","inventory page has correct title","chromium","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","5989","TC_VIS_07 - six Add to Cart buttons with correct data-test attributes","chromium","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","7663","clicking a product opens its detail page","firefox","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","13080","TC_VIS_05 - inventory page has correct document title","firefox","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","6756","TC_CHK_08 - step 2 shows subtotal, tax and total labels","chromium","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","3699","cart is empty by default","webkit","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","13644","TC_CHK_12 - order complete page shows dispatch confirmation text","webkit","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","6673","each product has an image","chromium","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","5827","TC_VIS_10 - Enter key on password field submits login","chromium","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","8505","empty password shows validation error","firefox","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","6905","TC_E2E_14 - all 6 products can be added to cart","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","4888","clicking a product opens its detail page","webkit","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","9129","TC_VIS_08 - cart icon has a navigable anchor tag","firefox","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","5777","adding two products shows badge count of 2","chromium","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","5384","adding two products shows badge count of 2","firefox","2026-05-28","passed","2026-05-28","Module 03 – Shopping Cart","cart\cart.spec.js","",""
"","6877","TC_VIS_09 - invalid login shows visible error container","webkit","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","8970","TC_CHK_03 - empty last name shows validation error","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","7120","each product has an image","firefox","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","7465","logout works after login","chromium","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","10593","TC_VIS_06 - all product images have non-empty alt attributes","firefox","2026-05-28","passed","2026-05-28","Module 08 – Visual & Accessibility","support\visual.spec.js","",""
"","5939","TC_NAV_15 - cart page title is ""Your Cart""","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","5171","TC_USR_08 - problem_user sees 6 products on inventory page","firefox","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
